Train No.,From,To,Train Name
12725/12726,Bangalore Dharwad Siddhaganga 19 12879/12880 Lokmanya Tilak (T) Bhubaneswar 5.78,,
12727/12728,Visakhapatnam Hyderabad Godavari 30 12881/12882 Howrah Puri Garib Rath 7,,
12729/12730,"Pune Hazur Sahib Nanded 44,53 12883/12884 SantraGachi Purulia Rupasi Bangla 87",,
12731/12732,Tirupati Secunderabad 31 12885/12886 Shalimar Bhojudih Aranyak 87,,
12733/12734,Tirupati Secunderabad Narayanadri 71 12887/12888 Howrah Puri 7,,
12735/12736,"Secunderabad Yesvantpur Garib Rath 9 12889/12890 Tatanagar Yesvantpur 20,40",,
12737/12738,Kakinada Port Secunderabad Gautami 30 12891/12892 Bangriposi Bhubaneswar 32,,
12739/12740,Visakhapatnam Secunderabad Garib Rath 30 12893/12894 Bhubaneswar Bolangir 78,,
12741/12742,"Vasco-da-Gama Patna 24,26 12895/12896 Howrah Puri 7",,
12747/12748,"Guntur Vikarabad Palnad 30 12897/12898 Puducherry Bhubaneswar 7,21",,
12751/12752,Manuguru Secunderabad 30 12901/12902 Mumbai Central Ahmedabad Gujarat Mail 11,,
12759/12760,"Chennai Hyderabad Charminar 71 12903/12904 Mumbai Central Amritsar Golden Temple Mail 3,4,15",,
12761/12762,Tirupati Karimnagar 71 12905/12906 Porbandar Howrah 34,,
12763/12764,Tirupati Secunderabad Padmavati 71 12907/12908 Bandra (T) Nizamuddin Maharashtra 3,,
12765/12766,"Tirupati Amravati 52,53 Sampark Kranti",,
12767/12768,"Hazur Sahib Nanded Santragachi 5,53 12909/12910 Bandra (T) Nizamuddin Garib Rath 3",,
12769/12770,"Tirupati Secunderabad Seven Hills 52 12911/12912 Valsad Haridwar 3, 75",,
12771/12772,Secunderabad Nagpur 9 12913/12914 Indore Nagpur Tri Shatabdi 8,,
12773/12774,Shalimar Secunderabad AC 30 12915/12916 Ahmedabad Delhi Ashram 23,,
12775/12776,Kakinada Secunderabad Cocanada AC 30 12917/12918 Ahmedabad Nizamuddin Gujarat Sampark 3,,
12777/12778,"Hubli Kochuveli 19, 86 Kranti",,
12779/12780,"Vasco-da-Gama Nizamuddin Goa 9,19 12919/12920 Indore Jammu Tawi Malwa 4,16",,
12781/12782,"Mysore Nizamuddin Swarna Jayanti 9,19 12921/12922 Mumbai Central Surat Flying Ranee 11",,
12785/12786,Kacheguda Bangalore 52 12923/12924 Indore Nagpur 8,,
12789/12790,"Rameswaram Kanniyakumari 21 12925/12926 Bandra (T) Amritsar Paschim 3,4,15",,
12791/12792,Secunderabad Patna 17 12927/12928 Mumbai Central Vadodara 11,,
12793/12794,Chennai Egmore Madurai 21 12929/12930 Valsad Dahod Intercity 3,,
12797/12798,Kacheguda Chittoor Venkatadri 71 12931/12932 Mumbai Central Ahmedabad AC Double Decker 11,,
12801/12802,Puri New Delhi Purushottam 32 12933/12934 Mumbai Central Ahmedabad Karnavati 11,,
12803/12804,Visakhapatnam Nizamuddin Swarna Jayanti 42 12935/12936 Bandra (T) Surat 11,,
12805/12806,"Visakhapatnam Secunderabad Janmabhoomi 7,71 12937/12938 Gandhidham Howrah Garbha 3,11,65",,
12807/12808,"Visakhapatnam Nizamuddin Samata 42 12939/12940 Pune Jaipur 3, 31",,
12809/12810,"Mumbai CST Howrah Mail 5 12941/12942 Bhavnagar Asansol Parasnath 3,33,65,76",,
12811/12812,"Lokmanya Tilak(T) Hatia 5 12943/12944 Valsad Kanpur Central Udhyog Karmik 24,35",,
12813/12814,"Howrah Tatanagar Steel 87 12945/12946 Surat Chhapra Tapti Ganga 6,37",,
12815/12816,"Puri New Delhi Nandankanan 32 12947/12948 Ahmedabad Patna Azimabad 1,3",,
